subcategory,metric,scene_terms,scene_chi2,scene_df,scene_p,scene_effect_size,mode_terms,mode_chi2,mode_df,mode_p,mode_effect_size,interaction_terms,interaction_chi2,interaction_df,interaction_p,interaction_effect_size,recommendation_category,subcat_coef,subcat_stat,subcat_p,subcat_p_fdr,subcat_ci_low,subcat_ci_high,subcat_effect_size,subcategory_overall_chi2,subcategory_overall_p,subcategory_df,subcategory_overall_effect_size,scene_p_fdr,mode_p_fdr,interaction_p_fdr,scene_sig,mode_sig,interaction_sig,subcat_vs_category_mean_sig,subcategory_overall_sig
101,disturbance,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",0.8826018360732933,2,0.6431991272301201,0.11071747303091457,"C(mode, Sum)[S.0]",1.3421596706321495,1,0.2466534647854013,0.13653243767163037,,,,,,1,-0.4166666666666667,-2.7180103568209355,0.01226664303136099,0.020444405052268317,-0.7337885896368517,-0.09954474369648164,-0.5548115408176105,71.34873418221738,1.178099182621151e-14,4,0.4451863972359636,0.747862456088023,0.4933069295708026,,False,False,False,True,True
102,disturbance,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",8.526085573632237,2,0.014079396564351889,0.3441189549986118,"C(mode, Sum)[S.0]",0.02717955989105915,1,0.8690524096737157,0.019429201923286028,,,,,,1,-0.642361111111111,-3.908572909087183,0.0007057497651810111,0.0017643744129525276,-0.9823381902255359,-0.3023840319966861,-0.797834104144105,71.34873418221738,1.178099182621151e-14,4,0.4451863972359636,0.028158793128703778,0.8690524096737157,,True,False,False,True,True
103,disturbance,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",0.38400091698662964,2,0.8253064900940873,0.07302976153089058,"C(mode, Sum)[S.0]",4.799977075334258,1,0.02846011561055991,0.2581982731710872,,,,,,1,-0.08680555555555551,-0.5209562334151155,0.6073770616193366,0.6073770616193366,-0.4315004869310374,0.2578893758199263,-0.10633974584910705,71.34873418221738,1.178099182621151e-14,4,0.4451863972359636,0.8253064900940873,0.2414034888050409,,False,False,False,False,True
104,disturbance,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",0.7917934316183208,2,0.6730762104792207,0.1048672064789508,"C(mode, Sum)[S.0]",3.227276268522348,1,0.07242104664151226,0.21171509513318798,,,,,,1,-0.10416666666666667,-0.7711177237947279,0.4484871041810361,0.5606088802262951,-0.3836118941626252,0.17527856082929183,-0.15740374624279146,71.34873418221738,1.178099182621151e-14,4,0.4451863972359636,0.747862456088023,0.2414034888050409,,False,False,False,False,True
105,disturbance,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",16.854575242618978,2,0.00021881419316452545,0.4838298490318187,"C(mode, Sum)[S.0]",3.646733410022855,1,0.05617929508896305,0.22505349395023025,,,,,,1,1.25,3.9655390713765932,0.0006127816083097257,0.0017643744129525276,0.5979267341763546,1.9020732658236454,0.8094622733285745,71.34873418221738,1.178099182621151e-14,4,0.4451863972359636,0.002188141931645254,0.2414034888050409,,True,False,False,True,True
201,disturbance,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",11.062947256776276,2,0.003960148999100388,0.38665137689362167,"C(mode, Sum)[S.0]",0.27685433665088754,1,0.598770447414966,0.0611659612824534,,,,,,2,-0.08680555555555554,-0.3711979483219193,0.7138874469447818,0.9134357723682144,-0.5705662388740983,0.39695512776298725,-0.07577046391305846,6.153983198566742,0.1879400526353451,4,0.13038387011897196,0.019800744995501936,0.7484630592687075,,True,False,False,False,False
202,disturbance,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",8.530003581272362,2,0.014051841971286854,0.3441980127224969,"C(mode, Sum)[S.0]",0.16690183285517596,1,0.6828800539222353,0.048146453782988465,,,,,,2,0.008680555555555506,0.04741677850196191,0.9625903872443287,0.9625903872443287,-0.37002710616216733,0.3873882172732784,0.0096789093813648,6.153983198566742,0.1879400526353451,4,0.13038387011897196,0.028158793128703778,0.7587556154691503,,True,False,False,False,False
203,disturbance,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",4.657925119293613,2,0.09739673800072295,0.25434898158756897,"C(mode, Sum)[S.0]",0.3487868122322526,1,0.5548006909048377,0.06960072758961294,,,,,,2,0.07812499999999996,0.3483460850341419,0.7307486178945716,0.9134357723682144,-0.3858212958171254,0.5420712958171253,0.07110584685248394,6.153983198566742,0.1879400526353451,4,0.13038387011897196,0.1623278966678716,0.7484630592687075,,False,False,False,False,False
204,disturbance,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",10.029251607836576,2,0.0066401162778794666,0.37322266975620927,"C(mode, Sum)[S.0]",1.669940820255418,1,0.19626646128787326,0.15229452552060915,,,,,,2,0.3732638888888889,2.1930288661708026,0.0386808104025583,0.1934040520127915,0.021168576166056496,0.7253592016117213,0.44765014277606696,6.153983198566742,0.1879400526353451,4,0.13038387011897196,0.02213372092626489,0.4906661532196831,,True,False,False,False,False
205,disturbance,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",3.4432340175402794,2,0.17877683035743666,0.21868400647523228,"C(mode, Sum)[S.0]",0.32982625033347945,1,0.5657614160840735,0.06768249510412976,,,,,,2,-0.37326388888888884,-1.437055057367346,0.16416784771366333,0.4104196192841583,-0.9105816349877606,0.1640538572099829,-0.2933376352363338,6.153983198566742,0.1879400526353451,4,0.13038387011897196,0.25539547193919526,0.7484630592687075,,False,False,False,False,False
101,satisfaction,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",0.2594582702729319,2,0.8783333083344897,0.06002988495011509,"C(mode, Sum)[S.0]",2.4490020407660773,1,0.11759961301581043,0.18442862368098448,,,,,,1,0.7569444444444445,4.891030010140815,6.112712092098488e-05,0.0003056356046049244,0.43679533834249046,1.0770935505463985,0.998377320123719,67.53372757699127,7.523205094947485e-14,4,0.433120869635561,0.9159253642668816,0.29399903253952603,,False,False,False,True,True
102,satisfaction,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",9.029764728949386,2,0.010944892559291845,0.3541375425074076,"C(mode, Sum)[S.0]",0.2681527564693408,1,0.6045736190560638,0.06102740236854224,,,,,,1,0.6180555555555557,2.3256724166425102,0.029211660581954534,0.04868610096992423,0.06830258109857745,1.1678085300125338,0.47472589413663285,67.53372757699127,7.523205094947485e-14,4,0.433120869635561,0.02188978511858369,0.7557170238200797,,True,False,False,True,True
103,satisfaction,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",0.175640795371353,2,0.9159253642668816,0.04939084420486039,"C(mode, Sum)[S.0]",7.327141136934367,1,0.006792100198862896,0.3190076004174327,,,,,,1,0.1493055555555556,0.7474170760177188,0.46238542429312446,0.5779817803664056,-0.2639336969157392,0.5625448080268504,0.15256587177386643,67.53372757699127,7.523205094947485e-14,4,0.433120869635561,0.9159253642668816,0.03396050099431448,,False,True,False,False,True
104,satisfaction,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",0.5321531450609773,2,0.766380441564455,0.085971017811962,"C(mode, Sum)[S.0]",20.359087660328722,1,6.4187526530603405e-06,0.5317566232718258,,,,,,1,0.010416666666666593,0.046915105733670005,0.9629858789917727,0.9629858789917727,-0.44889204506310926,0.4697253783964424,0.009576505856351078,67.53372757699127,7.523205094947485e-14,4,0.433120869635561,0.9159253642668816,6.41875265306034e-05,,False,True,False,False,True
105,satisfaction,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",22.301538131387204,2,1.436423580002123e-05,0.5565461213216346,"C(mode, Sum)[S.0]",4.835821038701062,1,0.02787436502538859,0.2591605315110121,,,,,,1,-1.5347222222222223,-4.304646369968903,0.0002635044059276815,0.0006587610148192037,-2.2722543054679263,-0.7971901389765182,-0.878682260795639,67.53372757699127,7.523205094947485e-14,4,0.433120869635561,4.788078600007077e-05,0.09291455008462864,,True,False,False,True,True
201,satisfaction,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",45.023511786959716,2,1.6721246050892477e-10,0.7800165606952939,"C(mode, Sum)[S.0]",0.04178693040114276,1,0.8380264606250745,0.023763170004527833,,,,,,2,0.3784722222222223,1.822497863482605,0.08140767705064769,0.10175959631330961,-0.051119196522219634,0.8080636409666643,0.37201581857040816,34.2230342284275,6.706831121177213e-07,4,0.30747157362399585,1.6721246050892476e-09,0.9311405118056383,,True,False,False,False,True
202,satisfaction,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",14.574654844783147,2,0.0006841540664265139,0.4499175054752807,"C(mode, Sum)[S.0]",0.6329414946987044,1,0.4262784028198,0.09375955467597721,,,,,,2,0.1918402777777777,0.9403011709795129,0.35683457120032935,0.35683457120032935,-0.2302073202237239,0.6138878757792793,0.19193817278677736,34.2230342284275,6.706831121177213e-07,4,0.30747157362399585,0.0017103851660662847,0.6089691468854286,,True,False,False,False,True
203,satisfaction,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",1.6283008573069935,2,0.4430155408381795,0.15038380792099712,"C(mode, Sum)[S.0]",1.89578316202358,1,0.168551077803151,0.162266206262339,,,,,,2,-0.6414930555555555,-3.1383422502050653,0.004608517036548954,0.011521292591372386,-1.064337151453399,-0.21864895965771197,-0.6406114292683653,34.2230342284275,6.706831121177213e-07,4,0.30747157362399585,0.6328793440545422,0.337102155606302,,False,False,False,True,True
204,satisfaction,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",33.25034188676153,2,6.022544235814677e-08,0.679566261657242,"C(mode, Sum)[S.0]",0.8530051521331579,1,0.3557035826295125,0.10884527449378403,,,,,,2,-0.745659722222222,-3.3243162636717334,0.0029520976485563274,0.011521292591372386,-1.2096693220351555,-0.2816501224092884,-0.6785732158026008,34.2230342284275,6.706831121177213e-07,4,0.30747157362399585,3.0112721179073384e-07,0.5928393043825209,,True,False,False,True,True
205,satisfaction,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",6.178255094610257,2,0.04554167002984674,0.2929319008511254,"C(mode, Sum)[S.0]",0.0,1,1.0,0.0,,,,,,2,0.8168402777777778,2.6614800325238788,0.013943141234174712,0.02323856872362452,0.18194434150452954,1.4517362140510262,0.54327233669079,34.2230342284275,6.706831121177213e-07,4,0.30747157362399585,0.0759027833830779,1.0,,False,False,False,True,True
