subcategory,metric,version_terms,version_chi2,version_df,version_p,version_effect_size,mode_terms,mode_chi2,mode_df,mode_p,mode_effect_size,interaction_terms,interaction_chi2,interaction_df,interaction_p,interaction_effect_size,recommendation_category,subcat_coef,subcat_t,subcat_df,subcat_p,subcat_p_fdr,subcat_ci_low,subcat_ci_high,subcat_effect_size,subcat_effect_size_type,n_subjects,subcategory_overall_chi2,subcategory_overall_p,subcategory_df,n_subjects_overall,subcategory_overall_effect_size,effect_size_type,version_p_fdr,mode_p_fdr,interaction_p_fdr,version_sig,mode_sig,interaction_sig,subcat_vs_category_mean_sig,subcategory_overall_sig
101,satisfaction,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",3.2307719260430754,2,0.1988139208089133,0.2995724697169412,"C(mode, Sum)[S.0]",3.857140405459276,1,0.04953468582486855,0.3273267313259573,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",0.461538846577597,2,0.7939225049723191,0.11322775064463818,1,1.3888888888888886,7.761505257063325,11,8.700071863302204e-06,4.350035931651102e-05,0.9950318041865883,1.7827459735911888,2.2405535747411034,Cohen_dz,12,21.30693069306931,0.0002752414746062017,4,12,0.443894389438944,Kendall_W,0.2945594769467152,0.0990693716497371,0.9387951593337492,False,False,False,True,True
102,satisfaction,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",7.0628664067609055,2,0.029262946045385454,0.4429342315978031,"C(mode, Sum)[S.0]",4.378372928698614,1,0.036397726382055205,0.34874269919473316,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",2.6742892219774497,2,0.26259440828788533,0.2725542362936152,1,0.8680555555555554,2.7277826715038787,11,0.01965609890977544,0.03276016484962573,0.16764147350113723,1.5684696376099736,0.7874430298417803,Cohen_dz,12,21.30693069306931,0.0002752414746062017,4,12,0.443894389438944,Kendall_W,0.07315736511346363,0.090994315955138,0.7781258333742402,False,False,False,True,True
103,satisfaction,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",3.157898562296356,2,0.20619163386270062,0.29617461827143815,"C(mode, Sum)[S.0]",14.320425503804488,1,0.00015418282923551722,0.6307056344507336,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",0.12631594249185504,2,0.9387951593337492,0.05923492365428782,1,0.2430555555555556,0.7598419467576432,11,0.46332330442789016,0.46332330442789016,-0.4609877960075617,0.9470989071186728,0.21934747625104725,Cohen_dz,12,21.30693069306931,0.0002752414746062017,4,12,0.443894389438944,Kendall_W,0.2945594769467152,0.001541828292355172,0.9387951593337492,False,True,False,False,True
104,satisfaction,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",0.5954185718085235,2,0.7425171685812464,0.12860561718859323,"C(mode, Sum)[S.0]",11.959327765596543,1,0.0005437448459433399,0.5763710168323425,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",0.13740428580196118,2,0.9336047194615139,0.06178014014811834,1,0.31249999999999994,0.8725274861504208,11,0.40156533532638905,0.46332330442789016,-0.4757936336602074,1.1007936336602073,0.2518769895021465,Cohen_dz,12,21.30693069306931,0.0002752414746062017,4,12,0.443894389438944,Kendall_W,0.8250190762013848,0.0027187242297166993,0.9387951593337492,False,True,False,False,True
105,satisfaction,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",0.9888641448219583,2,0.6099171977566726,0.16573608076480092,"C(mode, Sum)[S.0]",7.857461020802706,1,0.0050611414241570315,0.4671860508763168,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",1.5233853041851781,2,0.46687550002454414,0.20570915985825297,1,-2.8125,-4.98592654189492,11,0.00041156902457310514,0.0010289225614327627,-4.05404872935225,-1.5709512706477502,-1.439313015561366,Cohen_dz,12,21.30693069306931,0.0002752414746062017,4,12,0.443894389438944,Kendall_W,0.7623964971958408,0.016870471413856773,0.7781258333742402,False,True,False,True,True
201,satisfaction,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",41.93487872258913,2,7.833516918768371e-10,1.0792857556245903,"C(mode, Sum)[S.0]",1.1718697126027329,1,0.27901739774494283,0.18042155209726754,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",1.6145582858853273,2,0.4460701095825653,0.21177545012251167,2,0.3819444444444446,1.5468289968032225,11,0.15017490201973507,0.35464528277232443,-0.16152484397444283,0.9254137328633321,0.4465310688473297,Cohen_dz,12,10.233766233766227,0.03666874782076613,4,12,0.21320346320346306,Kendall_W,7.83351691876837e-09,0.34877174718117854,0.7781258333742402,True,False,False,False,True
202,satisfaction,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",16.487520980200006,2,0.0002628937788417741,0.6767471417704286,"C(mode, Sum)[S.0]",0.21492442175755072,1,0.6429347703416013,0.07726656991609393,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",0.6554671949314989,2,0.7205549518037948,0.134934880892342,2,-0.20833333333333337,-0.7200984638308607,11,0.486484171013047,0.6081052137663087,-0.8451053833359068,0.42843871666924005,-0.2078745209678917,Cohen_dz,12,10.233766233766227,0.03666874782076613,4,12,0.21320346320346306,Kendall_W,0.0008763125961392471,0.6429347703416013,0.9387951593337492,True,False,False,False,True
203,satisfaction,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",4.149540440273637,2,0.1255852811467955,0.3395070135208156,"C(mode, Sum)[S.0]",1.3223370652493323,1,0.2501730509047543,0.19165485943699626,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",3.4766419904995303,2,0.17581534774291926,0.3107625920618293,2,0.06944444444444438,0.2019480979305047,11,0.8436435825329732,0.8436435825329732,-0.6874143387713552,0.826303227660244,0.05829739435125488,Cohen_dz,12,10.233766233766227,0.03666874782076613,4,12,0.21320346320346306,Kendall_W,0.251170562293591,0.34877174718117854,0.7781258333742402,False,False,False,False,True
204,satisfaction,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",23.077012239515398,2,9.747437580445631e-06,0.8006423157467488,"C(mode, Sum)[S.0]",0.4984606140070409,1,0.48017729704304,0.11766957196685236,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",3.643738774660334,2,0.1617231449799165,0.3181429960926172,2,-0.9027777777777777,-2.5418778054227036,11,0.027388275876236438,0.13694137938118217,-1.6844835259858906,-0.12107202956966467,-0.7337769176039667,Cohen_dz,12,10.233766233766227,0.03666874782076613,4,12,0.21320346320346306,Kendall_W,4.873718790222815e-05,0.5335303300478222,0.7781258333742402,True,False,False,False,True
205,satisfaction,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",0.2675159471752704,2,0.8748017641163632,0.08620323968764979,"C(mode, Sum)[S.0]",3.2967030494613834,1,0.0694190854495073,0.30261375498688203,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",1.8726116302269045,2,0.39207355553884243,0.22807233442161529,2,0.6597222222222222,1.3226608363517647,11,0.21278716966339464,0.35464528277232443,-0.43809422548719146,1.7575386699316358,0.38181929495713346,Cohen_dz,12,10.233766233766227,0.03666874782076613,4,12,0.21320346320346306,Kendall_W,0.8748017641163632,0.11569847574917884,0.7781258333742402,False,False,False,False,True
