subcategory,metric,term,coef,stat,pval,ci_low,ci_high,effect_size,converged,n_obs,n_subjects,pval_fdr
103,appropriateness,"C(version, Treatment(reference='default'))[T.personified]",0.25000000000000094,0.7986208269919945,0.4245103074379213,-0.36354647859681516,0.863546478596817,0.17556172079419652,True,36,12,0.6064432963398876
103,appropriateness,"C(mode, Sum)[S.0]",0.7499999999999999,2.215646937616856,0.026715691593936726,0.08654908485277912,1.4134509151472208,0.5266851623825876,True,36,12,0.08905230531312243
103,appropriateness,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]",-0.0833333333333333,-0.2662069423306637,0.7900798366746516,-0.6968798119301494,0.5302131452634828,-0.05852057359806526,True,36,12,0.8740196251258052
103,appropriateness,"C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",0.0833333333333334,0.26620694233066405,0.7900798366746513,-0.5302131452634827,0.6968798119301495,0.05852057359806533,True,36,12,0.8344340904352427
103,appropriateness,Group Var,1.3385822817128357,1.601256045149592,0.10932022012273224,-0.29986465527000505,2.9770292186956766,0.9400152352085059,True,36,12,0.39214565666932644
103,disturbance,Intercept,2.166666666666668,7.522988991304092,5.353793325084181e-14,1.6021850971630038,2.731148236170332,1.8442830865970026,True,36,12,8.922988875140302e-14
103,disturbance,"C(version, Treatment(reference='default'))[T.personalized]",-0.4166666666666679,-1.111873510165785,0.26619253971887813,-1.1511491889665821,0.31781585563324627,-0.35466982434557826,True,36,12,0.3802750567412545
103,disturbance,"C(version, Treatment(reference='default'))[T.personified]",-0.5000000000000012,-1.3342482121989412,0.1821225237529971,-1.2344825222999154,0.23448252229991295,-0.4256037892146937,True,36,12,0.3431691674706655
103,disturbance,"C(mode, Sum)[S.0]",-0.6666666666666671,-2.314765843478182,0.020625750153305856,-1.231148236170331,-0.10218509716300306,-0.5674717189529239,True,36,12,0.06875250051101953
103,disturbance,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]",0.08333333333333386,0.22237470203315773,0.8240222036658353,-0.6511491889665804,0.817815855633248,0.07093396486911589,True,36,12,0.8240222036658353
103,disturbance,"C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",0.33333333333333387,0.8894988081326267,0.3737350634740604,-0.4011491889665803,1.067815855633248,0.28373585947646224,True,36,12,0.8290309808648352
103,disturbance,Group Var,0.18131739040014735,0.7046242635697845,0.48104409472308074,-0.3230302077859627,0.6856649885862575,0.1543387368096449,True,36,12,0.6872058496044011
103,satisfaction,Intercept,5.66666666666667,21.44399157132495,5.196022532248348e-102,5.14873778471766,6.184595548615679,4.13791036131444,True,36,12,2.598011266124174e-101
103,satisfaction,"C(version, Treatment(reference='default'))[T.personalized]",0.4166666666666652,1.5389684602753428,0.12381199624434451,-0.11398206415846768,0.947315397491798,0.3042581148025311,True,36,12,0.1768742803490636
103,satisfaction,"C(version, Treatment(reference='default'))[T.personified]",-1.5296406117057717e-15,-5.649764776731536e-15,0.9999999999999954,-0.5306487308251344,0.5306487308251313,-1.1169733652231767e-15,True,36,12,0.9999999999999954
103,satisfaction,"C(mode, Sum)[S.0]",1.0000000000000002,3.784233806704402,0.0001541828292355169,0.4820711180509909,1.5179288819490095,0.7302194755260775,True,36,12,0.0015418282923551688
