repeat,fold,model,p_bias,beta_c,beta_i,beta_ci,gamma_throttle,gamma_density,gamma_time,gamma_mode,kappa,lam,a,gain,theta_dyn,sigma,theta_readout,dt,T,density_lam_gain,density_sigma_gain,time_gain_multiplier,auto_lam_multiplier,auto_sigma_multiplier,b_use_stim_on
3,1,nonlinear_sigmoid,0.44,0.4259772947876431,0.03019439241930716,0.23133328549907536,0.0,0.31308271020528555,0.2995546008016835,0.22376401233202692,2.1602120209113047,1.0,1.2319799890071983,2.5993529344208115,0.0,0.05,0.44,0.01,5.0,0.0,0.0,1.0,1.0,1.0,True
3,2,nonlinear_sigmoid,0.44,0.9221681029515106,0.17005386531556121,0.15362477688707943,0.0,0.3078414741641725,0.5025270399179669,0.129412185153384,2.381117508443525,1.0,3.4158714234767333,1.5100955630165338,0.0,0.05,0.44,0.01,5.0,0.0,0.0,1.0,1.0,1.0,True
3,3,nonlinear_sigmoid,0.44,0.7776787865208029,0.49095060343239255,0.05776163231277521,0.0,0.5211684170112516,0.5868631783447101,0.21301551955092748,2.084764035137935,1.0,2.9264150491915997,1.423267630490434,0.0,0.05,0.44,0.01,5.0,0.0,0.0,1.0,1.0,1.0,True
3,4,nonlinear_sigmoid,0.44,0.24471919620824545,0.07189641564881744,0.26840173531895783,0.0,0.48146256204179083,0.2571664489566996,0.13200820602285943,2.133130615571319,1.0,1.9198684592520525,2.164820607977502,0.0,0.05,0.44,0.01,5.0,0.0,0.0,1.0,1.0,1.0,True
3,5,nonlinear_sigmoid,0.44,0.9876904162982623,0.4506134703109899,0.12511130097421863,0.0,0.9760645538286339,0.9767431763545412,0.27824647794891455,2.800463801891297,1.0,2.9194880743263623,2.250058685365815,0.0,0.05,0.44,0.01,5.0,0.0,0.0,1.0,1.0,1.0,True
4,1,nonlinear_sigmoid,0.44,0.3278741512579495,0.21380025709955686,0.1476134613073734,0.0,0.18229538627750919,0.8344626380978336,0.12509254918671628,2.5466231022888084,1.0,2.823656226558406,2.0529135635606046,0.0,0.05,0.44,0.01,5.0,0.0,0.0,1.0,1.0,1.0,True
4,2,nonlinear_sigmoid,0.44,0.12924050556323385,0.1114481335730011,0.16939709818186507,0.0,0.19480519589328105,0.46450444066217333,0.12218935989388124,2.69879706262983,1.0,1.6937049124677035,2.4248778821421944,0.0,0.05,0.44,0.01,5.0,0.0,0.0,1.0,1.0,1.0,True
4,3,nonlinear_sigmoid,0.44,0.5253863211717759,0.011481191679716118,0.2163232060513709,0.0,0.4761510602276775,0.49890188629479315,0.19170979967497376,2.903491357163677,1.0,3.06454316942489,1.0251273442210755,0.0,0.05,0.44,0.01,5.0,0.0,0.0,1.0,1.0,1.0,True
4,4,nonlinear_sigmoid,0.44,0.18340933010324723,0.0255551202334941,0.06310880962938946,0.0,0.05487116277227877,0.45792041341746914,0.0807710559056182,1.633970105950466,1.0,1.048380266236614,1.2409813483644312,0.0,0.05,0.44,0.01,5.0,0.0,0.0,1.0,1.0,1.0,True
4,5,nonlinear_sigmoid,0.44,0.5196269796885552,0.08126595296807743,0.1152316410689345,0.0,0.476302552869455,0.5541815871853103,0.273600586133292,1.5294881726175005,1.0,1.8926513075562812,2.67176456226909,0.0,0.05,0.44,0.01,5.0,0.0,0.0,1.0,1.0,1.0,True
5,1,nonlinear_sigmoid,0.44,0.8445485840663629,0.4785959183697389,0.20788044662066987,0.0,0.3637703746559374,0.8908013699380025,0.29553292236911666,1.5219097530043966,1.0,3.2849194376698874,1.0072786492205648,0.0,0.05,0.44,0.01,5.0,0.0,0.0,1.0,1.0,1.0,True
5,2,nonlinear_sigmoid,0.44,0.9850570527192245,0.2844818938895962,0.14160725208352415,0.0,0.11846808590239188,0.8618730574561155,0.06252360393569131,2.4166163895797803,1.0,1.9871781397623307,3.4934897805347136,0.0,0.05,0.44,0.01,5.0,0.0,0.0,1.0,1.0,1.0,True
5,3,nonlinear_sigmoid,0.44,0.8301998080349418,0.41496188534508777,0.2798963646140474,0.0,0.2161633869803561,0.6347119627024973,0.012631238203663209,1.8736652665880411,1.0,3.3431996530403767,1.7011439626412708,0.0,0.05,0.44,0.01,5.0,0.0,0.0,1.0,1.0,1.0,True
5,4,nonlinear_sigmoid,0.44,0.7644692413270792,0.25623082321868,0.1104758653272149,0.0,0.5148277914414195,0.7074889344876891,0.29887710123684386,1.5649481704007837,1.0,2.119056345132353,3.459491266697302,0.0,0.05,0.44,0.01,5.0,0.0,0.0,1.0,1.0,1.0,True
5,5,nonlinear_sigmoid,0.44,0.8890685594789661,0.02943282477085607,0.21827539874337076,0.0,0.9011097877435034,0.5771928852283216,0.08462045331419435,2.863694197863917,1.0,2.477868455133837,3.209542207224379,0.0,0.05,0.44,0.01,5.0,0.0,0.0,1.0,1.0,1.0,True
